Emisora,Fecha,Hora,Descripción,Títulos,Precio,Tasa,Plazo,Intereses,Impuestos,Comisión,Importe,Saldo
ENERO 2022,,,,,,,,,,,,
VT *,04/ene/2022,10:30:31,Compra de Acciones.,1,"$2,230.00",0,0,$0.00,$0.89,$5.58,"$2,236.47","-$12,250.48"
VT *,06/ene/2022,11:30:31 AM,Compra de Acciones.,1,"$2,230.00",0,0,$0.00,$0.89,$5.58,"$2,236.47","-$13,469.95"
VT *,17/ene/2022,8:30:16,Compra de Acciones.,2,"$2,175.41",0,0,$0.00,$1.74,$10.88,"$4,363.44","-$20,599.16"
VT *,18/ene/2022,8:30:17,Compra de Acciones.,3,"$2,175.41",0,0,$0.00,$2.61,$16.32,"$6,545.16","-$12,144.32"
VT *,28/ene/2022,9:17:01,Compra de Acciones.,5,"$2,082.79",0,0,$0.00,$9.16,$57.28,"$10,480.39","-$12,351.58"
